User_Rating_Count,Price,Size,Update_Gap,Great_App,Subtitle_Present,Price_Free,Description_Length,Genre_Adventure,Genre_Family,Language_EN,Languages_Count,In_App_Count,In_App_Max
960.0,9.99,364954624.0,242179200000000000,1,1,0,2522,0,0,1,1,0,0.0
3284.0,0.0,34713600.0,121132800000000000,0,0,1,742,0,0,1,1,1,0.99
63.0,2.99,27623424.0,237513600000000000,0,0,0,605,0,0,1,17,0,0.0
849.0,0.0,16375808.0,197683200000000000,0,0,1,329,0,0,1,1,0,0.0
532.0,0.0,30134272.0,221097600000000000,0,0,1,2331,0,1,1,1,0,0.0
746.0,0.0,12349649.0,42768000000000000,0,0,1,2141,0,0,1,2,0,0.0
3910.0,0.0,22872064.0,197769600000000000,0,0,1,1912,0,0,1,5,0,0.0
118.0,0.0,11697152.0,280627200000000000,0,1,1,1440,0,0,1,2,0,0.0
486.0,0.0,283385856.0,305337600000000000,0,1,1,4663,0,1,1,1,10,34.99
884.0,0.0,1250034.0,0,0,0,1,750,0,0,1,1,1,0.99
80790.0,0.0,36204544.0,125280000000000000,0,0,1,1239,0,0,1,1,0,0.0
1419.0,0.99,29578240.0,160531200000000000,0,0,0,2639,0,0,1,1,0,0.0
297.0,1.99,3898368.0,216172800000000000,0,0,0,987,0,0,1,1,0,0.0
240.0,0.0,6322647.0,12441600000000000,0,0,1,1628,0,0,1,1,1,0.99
1471.0,0.99,331237376.0,183686400000000000,0,0,0,1479,1,0,1,2,0,0.0
123.0,3.99,36946944.0,285897600000000000,0,1,0,869,0,0,1,1,0,0.0
6630.0,0.0,8592384.0,235785600000000000,0,1,1,751,0,0,1,1,0,0.0
158.0,0.0,1202176.0,311385600000000000,0,1,1,619,0,0,1,1,1,0.99
3183.0,0.0,6794240.0,215395200000000000,0,0,1,1212,0,0,1,1,0,0.0
26674.0,0.99,37340259.0,77846400000000000,0,0,0,4077,0,0,1,1,0,0.0
84.0,0.99,7619584.0,189216000000000000,0,0,0,497,0,0,1,1,0,0.0
286.0,0.99,14863724.0,47952000000000000,0,0,0,1341,0,0,1,1,0,0.0
37435.0,0.0,11333632.0,163900800000000000,0,0,1,485,0,0,1,1,0,0.0
18.0,0.0,6556139.0,5443200000000000,0,0,1,734,0,0,1,1,0,0.0
836.0,0.0,24859648.0,244771200000000000,0,0,1,2158,0,0,1,2,0,0.0
64.0,0.99,53878784.0,150854400000000000,0,0,0,938,0,0,1,2,0,0.0
310.0,0.0,26754048.0,225244800000000000,0,0,1,684,0,0,1,1,1,0.99
92.0,2.99,37567488.0,283564800000000000,0,1,0,851,0,0,1,1,0,0.0
324.0,0.0,13945969.0,58147200000000000,0,0,1,3297,0,0,1,3,0,0.0
1736.0,0.0,80186242.0,0,0,0,1,1151,0,0,1,6,0,0.0
1377.0,0.0,7988224.0,167184000000000000,0,0,1,572,0,0,1,1,0,0.0
1009.0,0.0,123698176.0,285724800000000000,0,1,1,2156,0,0,1,2,7,8.49
602.0,0.0,215840.0,36979200000000000,0,0,1,119,0,0,1,6,0,0.0
1335.0,2.99,32712704.0,279072000000000000,0,0,0,1519,0,0,1,1,0,0.0
86.0,0.0,13109248.0,196041600000000000,0,0,1,1044,0,0,1,2,0,0.0
37350.0,0.0,14556326.0,34732800000000000,0,0,1,2738,0,0,1,1,0,0.0
119.0,0.0,46803968.0,286675200000000000,0,1,1,1836,0,0,1,1,0,0.0
1229.0,0.0,10781853.0,3888000000000000,0,0,1,1414,1,0,1,7,3,199.99
1229.0,0.0,10781853.0,3888000000000000,0,0,1,1414,1,0,1,7,3,199.99
14.0,0.0,9549824.0,237081600000000000,0,0,1,577,0,0,1,1,0,0.0
342.0,0.0,19326976.0,249436800000000000,0,0,1,1671,0,0,1,1,0,0.0
49.0,0.0,5049774.0,0,0,0,1,803,0,0,1,1,0,0.0
307.0,0.0,16819162.0,1987200000000000,0,0,1,1194,0,0,1,1,0,0.0
